nome,whatsapp,endereco,cidade,latitude,longitude,categorias,url_maps,status_funil
F.A Studio de Beleza,5599981019154,"R. Nova, 59, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2145412,-44.7915636,"{""Clínica de Estética""}",https://www.google.com/maps/search/?api=1&query=F.A%20Studio%20de%20Beleza&query_place_id=ChIJBUIDgJdvigcRxrh1vNeDR14,prospect
Studio Beleza & Estetica,,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.224807,-44.7912924,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Studio%20Beleza%20%26%20Estetica&query_place_id=ChIJ1z7KE99uigcR1uFQLA-ZNxY,prospect
BRUNA MACEDO BEAUTY STUDIO,5599920002903,"R. Jorge José de Mendonça - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2216085,-44.7690267,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=BRUNA%20MACEDO%20BEAUTY%20STUDIO&query_place_id=ChIJm7qugbZpigcRyiUmsic0YJM,prospect
Centro de beleza CBMARGÔ,,"R. Seis, 219-327, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2080766,-44.7935695,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Centro%20de%20beleza%20CBMARG%C3%94&query_place_id=ChIJM9qLEgBvigcRzw0zNGPdjxA,prospect
Salão daliana e michelle,5599982705344,"Av 4 Quadra 22 casa 5, Av. Cohab, 2, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2259172,-44.796057,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Sal%C3%A3o%20daliana%20e%20michelle&query_place_id=ChIJN-IxzW1vigcRJf3KoIURVEU,prospect
Espaço de beleza JS,5588981042121,"R. Teixeira de Freitas, 22 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2338271,-44.7740484,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20de%20beleza%20JS&query_place_id=ChIJLaiRceFpigcRcJsKbvo0t8A,prospect
STUDIO GLAM Centro de Beleza,5599985516161,"R. Maranhão Sobrinho, 1557 - Centro, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2252769,-44.7875797,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=STUDIO%20GLAM%20Centro%20de%20Beleza&query_place_id=ChIJgT5bC9RpigcR4kV_fnivVgI,prospect
Me Espaço De Beleza,,"Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2183272,-44.768218,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Me%20Espa%C3%A7o%20De%20Beleza&query_place_id=ChIJHyPFMdBoigcRaj1teX-G3pM,prospect
Espaço de Beleza Rita Sousa,5599981286304,"Em frente o Shopping da Madeira - Estr. Bela Vista, 22 - Parque Manoel Lacerda, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.2187836,-44.7870676,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Espa%C3%A7o%20de%20Beleza%20Rita%20Sousa&query_place_id=ChIJdb6p5VRvigcRq2Rng8tpRtc,prospect
Estética Paula Marcelly,5599981296056,"R. Dezoito, 50 - Vila São João, Bacabal - MA, 65700-000, Brasil",Bacabal,-4.250693,-44.785191,"{""Salão de Beleza""}",https://www.google.com/maps/search/?api=1&query=Est%C3%A9tica%20Paula%20Marcelly&query_place_id=ChIJHzcn1iZvigcR3WOrFSAwmcg,prospect
